Dataset Name,Algorithm Name,Cross Validation,Hyper-Parameters Values,Accuracy,TPR,FPR,Precision,AUC,PR-Curve,Training Time,Inference Time
butterfly1,Mask_VGG_Improved,1,"Learning Rate: 0.0017978857159371663
Activation:  elu
Optimizer: RMSprop",0.611111111,0.633333333,0.08666958,0.556666667,0.925331161,0.812585886,16.24423242,0.153315544
butterfly1,Mask_VGG_Improved,2,"Learning Rate: 0.035662443429627114
Activation:  relu
Optimizer: adam",0.222222222,0.2,0.2,***,0.461674021,0.331296296,10.97829914,0.151568174
butterfly1,Mask_VGG_Improved,3,"Learning Rate: 0.0041238920114814405
Activation:  elu
Optimizer: adam",0.75,0.753571429,0.061888342,0.786666667,0.967610837,0.870706763,17.66880798,0.150297642
butterfly1,Mask_VGG_Improved,4,"Learning Rate: 0.001
Activation:  relu
Optimizer: adam",0.805555556,0.735,0.045852535,0.635,0.980253456,0.929764793,30.45120311,0.152850389
butterfly1,Mask_VGG_Improved,5,"Learning Rate: 0.0016239869390860097
Activation:  elu
Optimizer: adam",0.416666667,0.341538462,0.156031746,0.379150579,0.810756521,0.50958704,181.1141818,0.199602365
butterfly1,Mask_VGG_Improved,6,"Learning Rate: 0.0021831499353545205
Activation:  elu
Optimizer: adam",0.861111111,0.872222222,0.034269294,0.865079365,0.970805586,0.883866209,34.78910828,0.338417053
butterfly1,Mask_VGG_Improved,7,"Learning Rate: 0.002476928584191091
Activation:  elu
Optimizer: adam",0.916666667,0.926984127,0.020649465,0.903246753,0.981201181,0.947732371,47.28352141,0.200748444
butterfly1,Mask_VGG_Improved,8,"Learning Rate: 0.0010502516071591401
Activation:  elu
Optimizer: adam",0.75,0.775555556,0.059880526,0.757539683,0.944815836,0.815607855,29.8791573,0.174539804
butterfly1,Mask_VGG_Improved,9,"Learning Rate: 0.001
Activation:  relu
Optimizer: adam",0.944444444,0.95,0.012903226,0.942857143,0.989481567,0.957876623,44.73365068,0.17927289
butterfly1,Mask_VGG_Improved,10,"Learning Rate: 0.0011663874243459473
Activation:  relu
Optimizer: adam",0.75,0.744047619,0.062824302,0.748492063,0.910138205,0.786755993,37.68961191,0.358869314
