Dataset Name,Algorithm Name,Cross Validation,Hyper-Parameters Values,Accuracy,TPR,FPR,Precision,AUC,PR-Curve,Training Time,Inference Time
cifar_2,Mask_VGG_Improved,1,"Learning Rate: 0.08942906363185175
Activation:  relu
Optimizer: RMSprop",0.208333333,0.181818182,0.204878049,0.042553191,0.302961372,0.139377532,38.60987592,0.226603746
cifar_2,Mask_VGG_Improved,2,"Learning Rate: 0.001
Activation:  relu
Optimizer: adam",0.729166667,0.734004884,0.067778671,0.717020757,0.93219058,0.824660036,61.6466682,0.252304077
cifar_2,Mask_VGG_Improved,3,"Learning Rate: 0.0017902035970763339
Activation:  relu
Optimizer: sgd",0.3125,0.298214286,0.173104812,0,0.484259012,0.303901717,69.68609571,0.200698853
cifar_2,Mask_VGG_Improved,4,"Learning Rate: 0.001238126023679758
Activation:  relu
Optimizer: RMSprop",0.5,0.513383838,0.119700061,0.536767677,0.873811466,0.674295742,68.80611038,0.217053652
cifar_2,Mask_VGG_Improved,5,"Learning Rate: 0.012646348768042614
Activation:  elu
Optimizer: adam",0.708333333,0.761538462,0.075348628,0.729154179,0.89248613,0.751505009,47.04651022,0.215933561
cifar_2,Mask_VGG_Improved,6,"Learning Rate: 0.009533057989025718
Activation:  elu
Optimizer: adam",0.166666667,0.310769231,0.194900294,0.116666667,0.482404802,0.232143786,18.11127424,0.252063751
cifar_2,Mask_VGG_Improved,7,"Learning Rate: 0.001
Activation:  relu
Optimizer: adam",0.75,0.775602176,0.063332343,0.786706349,0.946182926,0.801191443,54.22177339,0.262878418
cifar_2,Mask_VGG_Improved,8,"Learning Rate: 0.0023343842052345838
Activation:  elu
Optimizer: adam",0.645833333,0.687532468,0.086821326,0.641666667,0.905769623,0.760459124,43.2095871,0.277774334
cifar_2,Mask_VGG_Improved,9,"Learning Rate: 0.0036177837654684944
Activation:  elu
Optimizer: adam",0.770833333,0.805555556,0.055577002,0.771666667,0.951172067,0.810841069,33.73256874,0.25402379
cifar_2,Mask_VGG_Improved,10,"Learning Rate: 0.001
Activation:  relu
Optimizer: adam",0.75,0.776923077,0.061888375,0.77960373,0.943396659,0.825722632,59.0841074,0.245527267
