Dataset Name,Algorithm Name,Cross Validation,Hyper-Parameters Values,Accuracy,TPR,FPR,Precision,AUC,PR-Curve,Training Time,Inference Time
flowers,Mask_VGG_Improved,1,"Learning Rate: 0.0010167276105386273
Activation:  relu
Optimizer: adam",0.375,0.344877228,0.156977767,0.364731935,0.744356365,0.454738795,69.37290263,0.366157293
flowers,Mask_VGG_Improved,2,"Learning Rate: 0.002209081668802972
Activation:  elu
Optimizer: adam",0.527777778,0.540089439,0.120644775,0.560606061,0.830802403,0.585348448,29.04176354,0.28868556
flowers,Mask_VGG_Improved,3,"Learning Rate: 0.001477862143086908
Activation:  elu
Optimizer: adam",0.555555556,0.508088235,0.113634684,0.535569488,0.827344524,0.62149208,44.07284975,0.312754869
flowers,Mask_VGG_Improved,4,"Learning Rate: 0.00161909115571831
Activation:  elu
Optimizer: sgd",0.097222222,0.1,0.226880612,0.03255814,0.381072819,0.158773394,120.2974429,0.349156618
flowers,Mask_VGG_Improved,5,"Learning Rate: 0.0014783206464754786
Activation:  elu
Optimizer: adam",0.5,0.500277778,0.12533801,0.491060606,0.805419825,0.526087352,60.91255116,0.368818521
flowers,Mask_VGG_Improved,6,"Learning Rate: 0.0037898861622485958
Activation:  elu
Optimizer: adam",0.472222222,0.456190476,0.133243886,0.463235294,0.759537691,0.499307436,44.01476932,0.349904537
flowers,Mask_VGG_Improved,7,"Learning Rate: 0.0033235990607790133
Activation:  elu
Optimizer: adam",0.486111111,0.504113534,0.126712192,0.501240916,0.805952708,0.518292247,67.2525847,0.342382908
flowers,Mask_VGG_Improved,8,"Learning Rate: 0.0012741525220238742
Activation:  elu
Optimizer: adam",0.541666667,0.540784314,0.116746411,0.565596314,0.835943334,0.615479453,64.37058592,0.291797638
flowers,Mask_VGG_Improved,9,"Learning Rate: 0.0014734672393068257
Activation:  elu
Optimizer: adam",0.638888889,0.639619883,0.088550464,0.626869256,0.857408605,0.702710277,61.43775511,0.486283779
flowers,Mask_VGG_Improved,10,"Learning Rate: 0.03400459360583717
Activation:  relu
Optimizer: RMSprop",0.222222222,0.216666667,0.196666667,0,0.522009302,0.359753086,22.41674852,0.304032564
