Dataset Name,Algorithm Name,Cross Validation,Hyper-Parameters Values,Accuracy,TPR,FPR,Precision,AUC,PR-Curve,Training Time,Inference Time
fruits1,Mask_VGG_Ido,1,"Learning Rate: 0.01181343800062552
Activation:  relu
Optimizer: adam",0.09375,0.085714286,0.228795918,0,0.333967519,0.149131618,9.126587152,0.286367655
fruits1,Mask_VGG_Ido,2,"Learning Rate: 0.0021153904733080026
Activation:  elu
Optimizer: adam",0.375,0.359808612,0.154950814,0.299047619,0.76356581,0.517195785,8.716496468,0.414414406
fruits1,Mask_VGG_Ido,3,"Learning Rate: 0.001966427642745837
Activation:  relu
Optimizer: adam",0.28125,0.244761905,0.185580285,0.208905229,0.564468271,0.33429191,9.131183147,0.27304101
fruits1,Mask_VGG_Ido,4,"Learning Rate: 0.007949073625971243
Activation:  relu
Optimizer: sgd",0.203125,0.20952381,0.193454545,0,0.571873969,0.332227597,9.16663146,0.282923937
fruits1,Mask_VGG_Ido,5,"Learning Rate: 0.0180801003022153
Activation:  relu
Optimizer: adam",0.203125,0.222377622,0.194080651,0.095833333,0.469304405,0.270310715,9.091025114,0.276714563
fruits1,Mask_VGG_Ido,6,"Learning Rate: 0.020131220603799536
Activation:  relu
Optimizer: adam",0.0625,0.08,0.224501425,0,0.465703852,0.240345283,9.048982143,0.273112059
fruits1,Mask_VGG_Ido,7,"Learning Rate: 0.01582430867132281
Activation:  relu
Optimizer: adam",0.171875,0.2,0.209187859,0,0.557725399,0.444718314,9.372189283,0.269857168
fruits1,Mask_VGG_Ido,8,"Learning Rate: 0.0027413789330195744
Activation:  relu
Optimizer: adam",0.3125,0.276118618,0.168671924,0.340993789,0.681724555,0.439636196,8.428128004,0.274612427
fruits1,Mask_VGG_Ido,9,"Learning Rate: 0.04130576896099465
Activation:  relu
Optimizer: adam",0.25,0.2,0.2,0,0.33210989,0.180171131,8.930485249,0.290784836
fruits1,Mask_VGG_Ido,10,"Learning Rate: 0.029098194062086115
Activation:  relu
Optimizer: sgd",0.328125,0.283888889,0.17224799,0.328888889,0.571848717,0.314558195,8.008216143,0.279837132
