Dataset Name,Algorithm Name,Cross Validation,Hyper-Parameters Values,Accuracy,TPR,FPR,Precision,AUC,PR-Curve,Training Time,Inference Time
butterfly3,MaskTomer,1,"Learning Rate: 0.007448292985303227
Activation:  relu
Optimizer: adam",0.85,0.840740741,0.082828283,0.866666667,0.964059644,0.942686789,2.916337013,0.03155756
butterfly3,MaskTomer,2,"Learning Rate: 0.010548097131733608
Activation:  elu
Optimizer: adam",0.6,0.723809524,0.239766082,0.558333333,0.81968254,0.774689661,2.934449196,0.03106451
butterfly3,MaskTomer,3,"Learning Rate: 0.005961196063249004
Activation:  elu
Optimizer: adam",0.85,0.884259259,0.085858586,0.884259259,0.955492424,0.945763521,3.27616334,0.03384161
butterfly3,MaskTomer,4,"Learning Rate: 0.006263361402722133
Activation:  elu
Optimizer: RMSprop",0.75,0.683333333,0.140740741,0.683333333,0.906898148,0.827344129,3.367917299,0.031583309
butterfly3,MaskTomer,5,"Learning Rate: 0.0027643316611445567
Activation:  elu
Optimizer: adam",0.95,0.916666667,0.033333333,0.96969697,0.9725,0.948656806,3.557414055,0.032245874
butterfly3,MaskTomer,6,"Learning Rate: 0.008608739085028459
Activation:  elu
Optimizer: adam",0.4,0.518518519,0.267379679,0,0.758145177,0.59860456,1.113707781,0.033371687
butterfly3,MaskTomer,7,"Learning Rate: 0.003110455532009162
Activation:  elu
Optimizer: RMSprop",0.8,0.82010582,0.097610723,0.785185185,0.923076923,0.913020612,3.115527153,0.044898033
butterfly3,MaskTomer,8,"Learning Rate: 0.001
Activation:  relu
Optimizer: adam",0.8,0.821428571,0.101282051,0.801587302,0.935401404,0.891693376,3.303923607,0.031149626
butterfly3,MaskTomer,9,"Learning Rate: 0.0035769542134073944
Activation:  elu
Optimizer: adam",0.4,0.518518519,0.288770053,0,0.741953852,0.611218706,1.52637887,0.036655426
butterfly3,MaskTomer,10,"Learning Rate: 0.008994891123267313
Activation:  elu
Optimizer: adam",0.95,0.96969697,0.020833333,0.933333333,0.974589646,0.970220588,3.090913057,0.03563714
