Dataset Name,Algorithm Name,Cross Validation,Hyper-Parameters Values,Accuracy,TPR,FPR,Precision,AUC,PR-Curve,Training Time,Inference Time
cifar_6,Mask,1,"Learning Rate: 0.02869293998341417
Activation:  relu
Optimizer: RMSprop",0.416666667,0.408441558,0.143555729,0.409126984,0.724026854,0.370313276,4.938926697,0.038633585
cifar_6,Mask,2,"Learning Rate: 0.039333960066289884
Activation:  elu
Optimizer: sgd",0.4375,0.459340659,0.138536883,0.482857143,0.719744781,0.438728463,7.315542698,0.042740107
cifar_6,Mask,3,"Learning Rate: 0.0020883721150358014
Activation:  elu
Optimizer: RMSprop",0.3125,0.341634199,0.171571403,0.373888889,0.689541517,0.40071109,5.433533192,0.043086052
cifar_6,Mask,4,"Learning Rate: 0.0022430085553253754
Activation:  elu
Optimizer: adam",0.354166667,0.367070707,0.15689283,0.370793651,0.718350298,0.389790137,4.91182971,0.041516066
cifar_6,Mask,5,"Learning Rate: 0.0018915740119879985
Activation:  relu
Optimizer: adam",0.354166667,0.302735043,0.162900842,0.333766234,0.574726132,0.352428319,4.831532001,0.042640686
cifar_6,Mask,6,"Learning Rate: 0.0037799926787454876
Activation:  elu
Optimizer: adam",0.395833333,0.503426573,0.149404524,0.4025,0.700540893,0.398809177,4.868717909,0.038397789
cifar_6,Mask,7,"Learning Rate: 0.0017375945811632138
Activation:  elu
Optimizer: sgd",0.4375,0.420823621,0.140710821,0.411934732,0.727596648,0.478699981,4.708678961,0.039021969
cifar_6,Mask,8,"Learning Rate: 0.001
Activation:  relu
Optimizer: adam",0.4375,0.466926407,0.141019,0.46952381,0.732480947,0.549559676,6.044493198,0.04273057
cifar_6,Mask,9,"Learning Rate: 0.004765033504653317
Activation:  elu
Optimizer: RMSprop",0.479166667,0.475555556,0.127555472,0.488095238,0.771109272,0.517100873,4.667518139,0.0376091
cifar_6,Mask,10,"Learning Rate: 0.0022974481480198647
Activation:  relu
Optimizer: RMSprop",0.395833333,0.402264957,0.150669944,0.400274725,0.750753674,0.517782016,4.821248293,0.03890419
