Dataset Name,Algorithm Name,Cross Validation,Hyper-Parameters Values,Accuracy,TPR,FPR,Precision,AUC,PR-Curve,Training Time,Inference Time
flowers,MaskTomer,1,"Learning Rate: 0.003301508956658736
Activation:  elu
Optimizer: adam",0.5,0.49833604991499725,0.12462733653799762,0.4662931995540691,0.7868650260496027,0.47419771079361767,5.446451663970947,0.043939828872680664
flowers,MaskTomer,2,"Learning Rate: 0.011070790988098189
Activation:  elu
Optimizer: adam",0.5416666666666666,0.5593257653938768,0.11636043945234449,0.5315151515151515,0.8337782460271462,0.588964481350977,5.637298822402954,0.04434514045715332
flowers,MaskTomer,3,"Learning Rate: 0.0026647107895780746
Activation:  elu
Optimizer: adam",0.5138888888888888,0.5178571428571429,0.12276337886251679,0.5099415204678361,0.8125296253885566,0.6179342981209924,5.316509962081909,0.04584956169128418
flowers,MaskTomer,4,"Learning Rate: 0.0035108185995149244
Activation:  elu
Optimizer: adam",0.375,0.3794957983193277,0.15796444248073027,0.3859278402756664,0.7715021407338286,0.47094916462932035,4.051742792129517,0.0432591438293457
flowers,MaskTomer,5,"Learning Rate: 0.01739421974672384
Activation:  elu
Optimizer: adam",0.5694444444444444,0.6019047619047618,0.1070235454536725,0.5874509803921569,0.7861414378325551,0.5614214659934744,5.574555397033691,0.04709935188293457
flowers,MaskTomer,6,"Learning Rate: 0.005521976667890525
Activation:  elu
Optimizer: adam",0.4583333333333333,0.44976190476190475,0.1354498314752398,0.44789682539682546,0.8129698888024659,0.4843792661768617,5.269825220108032,0.047908782958984375
flowers,MaskTomer,7,"Learning Rate: 0.0031654083996225683
Activation:  elu
Optimizer: adam",0.5694444444444444,0.5722277722277722,0.10780685334919748,0.5839249639249638,0.8175483995677231,0.5501513241185252,5.026478290557861,0.048583030700683594
flowers,MaskTomer,8,"Learning Rate: 0.0020022894730560045
Activation:  elu
Optimizer: adam",0.4166666666666667,0.42705882352941177,0.14261562998405103,0.44060606060606056,0.7572198767864402,0.5032448256666077,6.416483402252197,0.049544334411621094
flowers,MaskTomer,9,"Learning Rate: 0.01185557764269773
Activation:  elu
Optimizer: adam",0.6388888888888888,0.6223684210526316,0.09232404911650194,0.6314860681114551,0.8052389676584892,0.5949646480079045,5.679673671722412,0.047051191329956055
flowers,MaskTomer,10,"Learning Rate: 0.0054835901334789276
Activation:  elu
Optimizer: adam",0.5416666666666666,0.5147222222222222,0.11384707287933094,0.5304273504273505,0.8528396839619958,0.561601450977592,6.429782152175903,0.04731607437133789
