Dataset Name,Algorithm Name,Cross Validation,Hyper-Parameters Values,Accuracy,TPR,FPR,Precision,AUC,PR-Curve,Training Time,Inference Time
fruits4,Mask_Tomer_Small_Fruits,1,"Learning Rate: 0.003945386419420737
Activation:  elu
Optimizer: adam",0.9482758620689655,0.9444444444444445,0.0273972602739726,0.9591836734693877,0.9916716443665711,0.975685823328834,2.02223801612854,0.15998339653015137
fruits4,Mask_Tomer_Small_Fruits,2,"Learning Rate: 0.0034148687016627155
Activation:  elu
Optimizer: adam",0.9655172413793104,0.9660859465737515,0.016790123456790124,0.9644259644259644,0.9981021207037468,0.9961203191166358,1.4851014614105225,0.17243719100952148
fruits4,Mask_Tomer_Small_Fruits,3,"Learning Rate: 0.002737206149623249
Activation:  elu
Optimizer: RMSprop",0.9396551724137931,0.9313725490196078,0.031531531531531536,0.9523809523809524,0.9945302445302445,0.9888611625314523,2.301370620727539,0.18766546249389648
fruits4,Mask_Tomer_Small_Fruits,4,"Learning Rate: 0.0036059168625502194
Activation:  relu
Optimizer: RMSprop",0.5086206896551724,0.5259259259259259,0.23027320549804853,0.43452380952380953,0.7582260951119633,0.6650929635664276,1.7291052341461182,0.07351970672607422
fruits4,Mask_Tomer_Small_Fruits,5,"Learning Rate: 0.006082678088944335
Activation:  relu
Optimizer: adam",0.9396551724137931,0.9412878787878788,0.029518240044555832,0.9363940698230512,0.9954568001443002,0.9920041603763394,2.3300912380218506,0.06524491310119629
fruits4,Mask_Tomer_Small_Fruits,6,"Learning Rate: 0.013842723977963314
Activation:  elu
Optimizer: adam",0.9568965517241379,0.954954954954955,0.020833333333333332,0.959349593495935,0.9983796296296296,0.9964442849636369,2.1431286334991455,0.09289860725402832
fruits4,Mask_Tomer_Small_Fruits,7,"Learning Rate: 0.007140904119037577
Activation:  relu
Optimizer: adam",0.9741379310344828,0.9655172413793104,0.014285714285714285,0.979591836734694,0.9979473317528428,0.9961056454962834,2.1572909355163574,0.04940295219421387
fruits4,Mask_Tomer_Small_Fruits,8,"Learning Rate: 0.003580732673202649
Activation:  elu
Optimizer: adam",0.9913793103448276,0.9933333333333333,0.0040650406504065045,0.9904761904761905,0.9997794298798602,0.9995837425166144,1.555682897567749,0.1466057300567627
fruits4,Mask_Tomer_Small_Fruits,9,"Learning Rate: 0.0033405246036518547
Activation:  elu
Optimizer: RMSprop",0.8879310344827587,0.8854221659099708,0.054651036578747425,0.8862433862433862,0.980662676445809,0.9668503915509042,2.02915096282959,0.0791158676147461
fruits4,Mask_Tomer_Small_Fruits,10,"Learning Rate: 0.007805369912376052
Activation:  relu
Optimizer: adam",0.9568965517241379,0.9572649572649573,0.021929824561403508,0.9629629629629629,1.0,1.0,1.4621481895446777,0.05385780334472656
