Dataset Name,Algorithm Name,Cross Validation,Hyper-Parameters Values,Accuracy,TPR,FPR,Precision,AUC,PR-Curve,Training Time,Inference Time
monkey,MaskTomer,1,"Learning Rate: 0.00373389867014362
Activation:  elu
Optimizer: adam",0.25,0.28214285714285714,0.08057588353531214,0.15641025641025638,0.7372173525094717,0.34470907708688986,1.931145191192627,0.04073524475097656
monkey,MaskTomer,2,"Learning Rate: 0.022865613285559402
Activation:  elu
Optimizer: adam",0.328125,0.2969047619047619,0.07512448287386149,0.2711904761904762,0.7561706744309646,0.32951676414992,5.69886589050293,0.043111324310302734
monkey,MaskTomer,3,"Learning Rate: 0.0038038749469069726
Activation:  relu
Optimizer: adam",0.40625,0.43123015873015874,0.06622638415941935,0.52,0.8184605418680573,0.5015415725641736,5.530362844467163,0.03873324394226074
monkey,MaskTomer,4,"Learning Rate: 0.00337392892762111
Activation:  elu
Optimizer: adam",0.4375,0.40793650793650793,0.06280254359132517,0.39076839826839826,0.8534799239966271,0.4876170707727107,5.420481204986572,0.03838300704956055
monkey,MaskTomer,5,"Learning Rate: 0.01725925444614338
Activation:  elu
Optimizer: RMSprop",0.359375,0.3996645021645021,0.07159523534529122,0.34054556554556553,0.8329426216600309,0.4580116352666116,5.041897535324097,0.03936457633972168
monkey,MaskTomer,6,"Learning Rate: 0.0034744842821505533
Activation:  relu
Optimizer: adam",0.359375,0.35464285714285715,0.07085585513259388,0.3453571428571428,0.8187048560488799,0.3814093080136553,5.346265554428101,0.03724312782287598
monkey,MaskTomer,7,"Learning Rate: 0.0030202532862573547
Activation:  elu
Optimizer: adam",0.515625,0.5516666666666665,0.053484807143109214,0.447048507048507,0.8662795887227931,0.5924330939645004,5.47281813621521,0.040749549865722656
monkey,MaskTomer,8,"Learning Rate: 0.003042437457475987
Activation:  elu
Optimizer: adam",0.46875,0.4628571428571428,0.058946183130843155,0.4332051282051282,0.7916313571840394,0.4054162229606515,5.485562086105347,0.03710341453552246
monkey,MaskTomer,9,"Learning Rate: 0.015962398412472274
Activation:  elu
Optimizer: adam",0.390625,0.38063492063492066,0.06736247786508164,0.4400901875901876,0.8071162204598481,0.42028435081859233,5.520366907119751,0.04008126258850098
monkey,MaskTomer,10,"Learning Rate: 0.0019591552931010688
Activation:  elu
Optimizer: adam",0.359375,0.38555555555555554,0.07032930119429244,0.39416666666666667,0.8082908743582327,0.4403949339954195,10.070245265960693,0.05999636650085449
