Dataset Name,Algorithm Name,Cross Validation,Hyper-Parameters Values,Accuracy,TPR,FPR,Precision,AUC,PR-Curve,Training Time,Inference Time
butterfly3,VGG_NO_LEARN_TOMER,1,,0.9,0.907407407,0.044444444,0.904761905,0.991111111,0.972777778,13.90211964,0.127788067
butterfly3,VGG_NO_LEARN_TOMER,2,,0.85,0.885714286,0.1,0.863247863,0.94952381,0.933728566,19.02688789,0.096053362
butterfly3,VGG_NO_LEARN_TOMER,3,,0.9,0.916666667,0.060606061,0.939393939,1,1,12.29219532,0.198241472
butterfly3,VGG_NO_LEARN_TOMER,4,,0.9,0.916666667,0.066666667,0.944444444,1,1,18.2705009,0.117791414
butterfly3,VGG_NO_LEARN_TOMER,5,,0.8,0.844444444,0.092261905,0.808333333,0.988095238,0.980324074,9.850039721,0.100516558
butterfly3,VGG_NO_LEARN_TOMER,6,,0.95,0.962962963,0.019607843,0.916666667,1,1,19.90325332,0.196490288
butterfly3,VGG_NO_LEARN_TOMER,7,,0.95,0.952380952,0.03030303,0.966666667,1,1,16.92217946,0.106341839
butterfly3,VGG_NO_LEARN_TOMER,8,,0.9,0.910714286,0.053418803,0.910714286,0.957188645,0.914534275,30.78837562,0.096715212
butterfly3,VGG_NO_LEARN_TOMER,9,,0.9,0.921296296,0.039215686,0.866666667,0.986730046,0.960521886,18.66250992,0.099120617
butterfly3,VGG_NO_LEARN_TOMER,10,,0.8,0.878787879,0.088888889,0.851851852,0.976565657,0.956616263,14.0318141,0.107231855
