Dataset Name,Algorithm Name,Cross Validation,Hyper-Parameters Values,Accuracy,TPR,FPR,Precision,AUC,PR-Curve,Training Time,Inference Time
cifar_4,VGG_NO_LEARN_TOMER,1,,0.666666667,0.69991342,0.084970403,0.683040936,0.937700562,0.79293227,15.47211361,0.189809561
cifar_4,VGG_NO_LEARN_TOMER,2,,0.666666667,0.696764347,0.083663599,0.688636364,0.880937094,0.720676607,30.427706,0.184485674
cifar_4,VGG_NO_LEARN_TOMER,3,,0.729166667,0.723589466,0.068865131,0.737762238,0.951490827,0.835666091,19.63984036,0.184300423
cifar_4,VGG_NO_LEARN_TOMER,4,,0.666666667,0.655606061,0.082810352,0.665567766,0.916675848,0.796394799,19.70051932,0.188249826
cifar_4,VGG_NO_LEARN_TOMER,5,,0.770833333,0.700854701,0.055484866,0.701190476,0.914438447,0.739993587,28.91717601,0.192291975
cifar_4,VGG_NO_LEARN_TOMER,6,,0.729166667,0.6697669,0.065301886,0.727532468,0.955979133,0.841813793,31.28069258,0.191082716
cifar_4,VGG_NO_LEARN_TOMER,7,,0.666666667,0.682672883,0.078796159,0.782539683,0.911969232,0.752020896,17.9512732,0.193917513
cifar_4,VGG_NO_LEARN_TOMER,8,,0.6875,0.707099567,0.075302828,0.718113553,0.890122137,0.806499608,25.77148128,0.18213439
cifar_4,VGG_NO_LEARN_TOMER,9,,0.6875,0.686666667,0.078218205,0.663802864,0.920600043,0.743043559,17.55781078,0.181797981
cifar_4,VGG_NO_LEARN_TOMER,10,,0.6875,0.659615385,0.077124542,0.750805861,0.905472134,0.751660642,11.24005461,0.189996481
