Dataset Name,Algorithm Name,Cross Validation,Hyper-Parameters Values,Accuracy,TPR,FPR,Precision,AUC,PR-Curve,Training Time,Inference Time
flowers,VGG_NO_LEARN_TOMER,1,,0.541666667,0.540131798,0.113272698,0.556850459,0.803335037,0.53275615,28.59151483,0.264348269
flowers,VGG_NO_LEARN_TOMER,2,,0.569444444,0.587884417,0.107853827,0.568974359,0.870050875,0.641724216,31.53925967,0.287826777
flowers,VGG_NO_LEARN_TOMER,3,,0.652777778,0.633403361,0.088426444,0.654363473,0.902323096,0.751329956,28.51691604,0.262607336
flowers,VGG_NO_LEARN_TOMER,4,,0.638888889,0.645675501,0.091001392,0.655833333,0.86080763,0.66819663,25.36006093,0.269260883
flowers,VGG_NO_LEARN_TOMER,5,,0.513888889,0.496746032,0.122344655,0.576428571,0.827422053,0.608133601,34.74641919,0.259701729
flowers,VGG_NO_LEARN_TOMER,6,,0.611111111,0.616547619,0.096994642,0.661428571,0.849127101,0.678817766,37.97650814,0.29370451
flowers,VGG_NO_LEARN_TOMER,7,,0.597222222,0.603549392,0.099985419,0.607619048,0.891004367,0.694482805,34.52596998,0.270717382
flowers,VGG_NO_LEARN_TOMER,8,,0.527777778,0.565882353,0.118086124,0.567109557,0.818265628,0.592616649,40.90106726,0.267460823
flowers,VGG_NO_LEARN_TOMER,9,,0.597222222,0.582090643,0.09687631,0.661242679,0.868323828,0.690910743,31.4918704,0.277602911
flowers,VGG_NO_LEARN_TOMER,10,,0.652777778,0.626388889,0.089039085,0.700039683,0.899631852,0.748121731,31.59290528,0.264210224
