Dataset Name,Algorithm Name,Cross Validation,Hyper-Parameters Values,Accuracy,TPR,FPR,Precision,AUC,PR-Curve,Training Time,Inference Time
fruits4New,VGG_Ido,1,,0.818181818,0.809285714,0.020193089,0.755177366,0.98072663,0.91577563,14.58428073,0.491943359
fruits4New,VGG_Ido,2,,0.893939394,0.884502165,0.011898846,0.913369963,0.978531433,0.923378466,14.92576361,0.490178585
fruits4New,VGG_Ido,3,,0.825757576,0.835326479,0.018630384,0.855854701,0.991545395,0.922905932,15.5850451,0.570271254
fruits4New,VGG_Ido,4,,0.704545455,0.693299595,0.033345775,0.644873737,0.975750789,0.865106026,14.87019825,0.686934948
fruits4New,VGG_Ido,5,,0.856060606,0.84130547,0.016435849,0.802460317,0.988318939,0.945016393,17.28849554,0.502846956
fruits4New,VGG_Ido,6,,0.924242424,0.92417735,0.00846302,0.93244926,0.990412765,0.951218153,13.74370146,0.48514533
fruits4New,VGG_Ido,7,,0.931818182,0.924711779,0.007460406,0.936519608,0.995219697,0.974645882,14.42722774,0.585481405
fruits4New,VGG_Ido,8,,0.696969697,0.729411765,0.033591301,0.789967787,0.979521695,0.916107315,14.34803581,0.513661385
fruits4New,VGG_Ido,9,,0.909090909,0.905154486,0.010002119,0.938333333,0.992889766,0.966427792,15.15170074,0.683731079
fruits4New,VGG_Ido,10,,0.871212121,0.881898298,0.014307094,0.904951691,0.99274144,0.964428382,15.49416733,0.670647621
