Dataset Name,Algorithm Name,Cross Validation,Hyper-Parameters Values,Accuracy,TPR,FPR,Precision,AUC,PR-Curve,Training Time,Inference Time
intel,VGG_NO_LEARN_TOMER,1,,0.618421053,0.599585502,0.074941183,0.616059757,0.913439369,0.661868758,30.38373113,0.274014235
intel,VGG_NO_LEARN_TOMER,2,,0.723684211,0.718452381,0.055830508,0.711970899,0.938388083,0.769539371,40.03278685,0.269621611
intel,VGG_NO_LEARN_TOMER,3,,0.736842105,0.738328338,0.05286365,0.796392496,0.960129862,0.866369996,23.70838213,0.279142141
intel,VGG_NO_LEARN_TOMER,4,,0.657894737,0.715493997,0.068836773,0.699206349,0.919571097,0.715379015,40.58154583,0.29238224
intel,VGG_NO_LEARN_TOMER,5,,0.710526316,0.695431761,0.057312367,0.699066293,0.92425007,0.769426884,30.32834291,0.273838997
intel,VGG_NO_LEARN_TOMER,6,,0.723684211,0.738439991,0.05643879,0.745872183,0.940317783,0.789661794,40.05390453,0.284385443
intel,VGG_NO_LEARN_TOMER,7,,0.763157895,0.75854567,0.048102642,0.746574912,0.947718063,0.823088912,30.09275031,0.289190054
intel,VGG_NO_LEARN_TOMER,8,,0.578947368,0.559439866,0.08324312,0.562128843,0.871832301,0.621382383,43.06551194,0.267102003
intel,VGG_NO_LEARN_TOMER,9,,0.710526316,0.711630037,0.057573999,0.734018759,0.928012347,0.794624184,26.89501286,0.290948629
intel,VGG_NO_LEARN_TOMER,10,,0.736842105,0.733333333,0.053186749,0.738795518,0.936054389,0.827841592,36.86509061,0.294939041
