Dataset Name,Algorithm Name,Cross Validation,Hyper-Parameters Values,Accuracy,TPR,FPR,Precision,AUC,PR-Curve,Training Time,Inference Time
monkey,VGG_NO_LEARN_TOMER,1,,0.4375,0.451190476,0.062343714,0.417045455,0.818351906,0.464313507,41.467103,0.244693756
monkey,VGG_NO_LEARN_TOMER,2,,0.390625,0.416666667,0.066962599,0.443333333,0.825498688,0.39284015,32.25103045,0.516074896
monkey,VGG_NO_LEARN_TOMER,3,,0.53125,0.549484127,0.052278082,0.622857143,0.861035233,0.577233031,58.35508728,0.317979813
monkey,VGG_NO_LEARN_TOMER,4,,0.53125,0.528531746,0.052231134,0.492738095,0.904428882,0.655517155,56.53603387,0.266165733
monkey,VGG_NO_LEARN_TOMER,5,,0.4375,0.444707792,0.062441441,0.404603175,0.852339272,0.463734684,41.61153913,0.247413874
monkey,VGG_NO_LEARN_TOMER,6,,0.484375,0.506428571,0.057685503,0.542002165,0.869089751,0.518826951,35.06365514,0.309931517
monkey,VGG_NO_LEARN_TOMER,7,,0.40625,0.425,0.064920105,0.407857143,0.859384723,0.438113813,54.2262466,0.341237783
monkey,VGG_NO_LEARN_TOMER,8,,0.46875,0.515238095,0.058067894,0.596773504,0.825735115,0.48015205,59.25813031,0.244045019
monkey,VGG_NO_LEARN_TOMER,9,,0.46875,0.504126984,0.057436093,0.571212121,0.905790023,0.643794402,64.62394977,0.246251822
monkey,VGG_NO_LEARN_TOMER,10,,0.4375,0.464444444,0.062722009,0.493653846,0.831793505,0.475236726,56.29022574,0.292840242
